CANDIDATE_ID,CANDIDATE_NAME,AGE,CONSTITUENCY,STATE,PARTY,NO_PENDING_CRIMINAL_CASES,EDUCATION,EARNINGS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,AGE_GROUP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES,RE_CONTEST,SEX,WINNER,TOTAL_VOTES,VOTING_PERCENTAGE
8374,HANEEF KHAN,65,RAMPUR,UTTAR PRADESH,Independent,0,10th Pass,847312,0.6972,0.147,1,1,1,0.0121,7,0,M,0,2703,0.0025
5678,HANGKHANPAU TAITHUL,55,OUTER MANIPUR,MANIPUR,Janata Dal  (United),0,Post Graduate,2084066,0.7985,0.004,2,2,4,0.03,2,0,M,0,1470,0.0019
10056,HANIFBHAI KAYABHAI KATIYA,54,SURENDRANAGAR,GUJARAT,Independent,0,5th Pass,55000,0.7931,0.048,1,2,0,0.0045,1,0,M,0,2004,0.0019
6631,HANMANDLU PUPPALA,52,NIZAMABAD,TELANGANA,Independent,0,Illiterate,1105000,0.665,0.031,1,2,0,-0.0814,1,0,M,0,1610,0.0015
12560,HANOMAN PRASSAD MISHRA,40,SHRAWASTI,UTTAR PRADESH,Kisan Mazdoor Sangharsh Party,5,12th Pass,86000,0.6972,0.147,1,3,2,0.0121,7,0,M,0,3165,0.0032
12157,HANS KUMAR,60,GURGAON,HARYANA,Rashtriya Rashtrawadi Party,0,10th Pass,0,0.7664,0.018,1,1,1,-0.0311,1,0,M,0,1868,0.0013
13165,HANS RAJ GOLDEN,54,FIROZPUR,PUNJAB,Communist Party of India,2,12th Pass,2850000,0.7668,0.024,3,2,2,-0.0592,1,0,M,0,26128,0.0223
12712,HANS RAJ HANS,57,NORTH WEST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,Bharatiya Janata Party,0,10th Pass,83040238,0.8634,0.013,3,2,1,-0.0537,1,0,M,1,848663,0.6049
11760,HANUMAN BENIWAL,47,NAGAUR,RAJASTHAN,Rashtriya Loktantrik Party,0,Graduate Professional,4218568,0.6706,0.046,1,3,3,0.0279,2,0,M,1,660051,0.5486
11764,HANUMAN RAM,27,NAGAUR,RAJASTHAN,Rashtriya Power Party,0,8th Pass,145000,0.6706,0.046,1,5,0,0.0279,2,0,M,0,7486,0.0062
12669,HANUMANT SINGH,60,GWALIOR,MADHYA PRADESH,Aajad Bharat Party (Democratic),0,12th Pass,0,0.7063,0.053,1,1,2,0.0943,4,0,M,0,1953,0.0016
10399,HANUMANTHAPPA D KABBAR,60,HAVERI,KARNATAKA,Independent,0,12th Pass,0,0.756,0.051,1,1,2,0.0143,2,0,M,0,6247,0.0049
7308,HANUR NAGARAJU,49,CHAMARAJANAGAR,KARNATAKA,Uttama Prajaakeeya Party,0,Post Graduate,452100,0.756,0.051,1,3,4,0.0143,2,0,M,0,9510,0.0075
13201,HAPPY SINGH,28,BHIWANI MAHENDRAGARH,HARYANA,Independent,0,Illiterate,383000,0.7664,0.018,1,5,0,-0.0311,1,0,M,0,314,0.0003
13380,HARBALWINDER SINGH,38,EAST DELHI,NATIONAL CAPITAL TERRITORY OF DELHI,Independent,0,Post Graduate,143303628,0.8634,0.013,1,4,4,-0.0537,1,0,M,0,678,0.0005
12654,HARBHAJAN SINGH RAJPOOT,60,GUNA,MADHYA PRADESH,Bharat Prabhat Party,0,Graduate Professional,0,0.7063,0.053,1,1,3,0.0943,4,0,M,0,6118,0.0052
13753,HARBHAJAN SINGH VIRK,52,PATIALA,PUNJAB,Independent,0,Post Graduate,24144336,0.7668,0.024,1,2,4,-0.0592,1,0,M,0,1613,0.0014
13611,HARCHAND SINGH,55,FATEHGARH SAHIB,PUNJAB,Revolutionary Socialist Party,0,5th Pass,20000,0.7668,0.024,2,2,0,-0.0592,1,0,M,0,1733,0.0018
13127,HARDEEP SINGH PURI,67,AMRITSAR,PUNJAB,Bharatiya Janata Party,0,Post Graduate,282564787,0.7668,0.024,3,1,4,-0.0592,1,0,M,0,345406,0.4019
4904,HAREKRISHNA SARKAR,46,COOCH BEHAR,WEST BENGAL,Independent,1,Doctorate,2342330,0.7708,0.077,1,3,5,-0.0155,7,0,M,0,6145,0.004
7227,HAREKRISHNA SARKAR,60,JALPAIGURI,WEST BENGAL,Independent,1,Doctorate,0,0.7708,0.077,1,1,5,-0.0155,7,0,M,0,6095,0.0041
6136,HARENDRA AGARWAL,68,MEERUT,UTTAR PRADESH,Indian National Congress,1,Graduate,112115924,0.6972,0.147,3,1,3,0.0121,7,0,M,0,34479,0.0283
4775,HARENDRA SINGH MALIK,60,KAIRANA,UTTAR PRADESH,Indian National Congress,0,Graduate,0,0.6972,0.147,3,1,3,0.0121,7,0,M,0,69355,0.0617
9305,HARESH MANUBHAI SARDHARA,60,JUNAGADH,GUJARAT,Independent,0,Graduate,0,0.7931,0.048,1,1,3,0.0045,1,0,M,0,3491,0.0035
10935,HARESH SAMBHAJI BRAMHANE,60,KALYAN,MAHARASHTRA,Bahujan Republican Socialist Party,0,12th Pass,0,0.8291,0.088,1,1,2,0.0047,4,0,M,0,722,0.0008
9455,HARESHBHAI BABUBHAI VEGAD,35,BHAVNAGAR,GUJARAT,Independent,2,Literate,3715000,0.7931,0.048,1,4,0,0.0045,1,0,M,0,6056,0.0058
9252,HARI ARUMBIL,35,PALAKKAD,KERALA,Bahujan Samaj Party,0,Graduate,210000,0.9391,0.037,3,4,3,0.0373,1,0,M,0,2408,0.0023
13663,HARI BHAI PATEL,42,VARANASI,UTTAR PRADESH,Aam Janta Party (India),0,Graduate,9159721,0.6972,0.147,1,3,3,0.0121,7,0,M,0,1340,0.0013
13301,HARI CHAND,62,FARIDABAD,HARYANA,Peoples Party of India (Democratic),0,Graduate,4579000,0.7664,0.018,1,1,3,-0.0311,1,0,M,0,1370,0.001
12427,HARI LAL,38,SULTANPUR,UTTAR PRADESH,Rastriya Insaaf Party,0,10th Pass,497224,0.6972,0.147,1,4,1,0.0121,7,0,M,0,3265,0.0033
13548,HARI MITTER,60,JALANDHAR,PUNJAB,Peoples Party of India (Democratic),0,5th Pass,0,0.7668,0.024,1,1,0,-0.0592,1,0,M,0,1191,0.0012
12881,HARI ORAWN,46,SINGHBHUM,JHARKHAND,Kalinga Sena,2,Graduate,1442015,0.6763,0.026,1,3,3,0.0284,4,0,M,0,5647,0.0064
12147,HARI SHANKAR RAJVANS,42,FARIDABAD,HARYANA,Adim Bhartiya Dal,0,Graduate Professional,873364,0.7664,0.018,1,3,3,-0.0311,1,0,M,0,716,0.0005
11709,HARI SINGH,57,CHURU,RAJASTHAN,Bahujan Samaj Party,0,12th Pass,17308000,0.6706,0.046,3,2,2,0.0279,2,0,M,0,16116,0.0121
9530,HARI SINGH,64,BADAUN,UTTAR PRADESH,Independent,0,12th Pass,876000,0.6972,0.147,1,1,2,0.0121,7,0,M,0,2637,0.0024
4968,HARIBHAKTA SARDAR,60,JALPAIGURI,WEST BENGAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3,10th Pass,0,0.7708,0.077,1,1,1,-0.0155,7,0,M,0,4692,0.0031
5721,HARICHANDRA NAGOJI MANGAM,60,GADCHIROLI CHIMUR,MAHARASHTRA,Bahujan Samaj Party,0,12th Pass,0,0.8291,0.088,3,1,2,0.0047,4,0,M,0,28104,0.0246
8879,HARIHARAN DR R,42,KARUR,TAMIL NADU,Makkal Needhi Maiam,0,Graduate Professional,3610002,0.8033,0.072,1,3,3,-0.0173,1,0,M,0,15967,0.0145
7583,HARIHARAN.K,36,SALEM,TAMIL NADU,Independent,0,Graduate Professional,617000,0.8033,0.072,1,4,3,-0.0173,1,0,M,0,541,0.0004
12949,HARINARAYAN,60,GHOSI,UTTAR PRADESH,Bharatiya Janata Party,0,Literate,0,0.6972,0.147,3,1,0,0.0121,7,0,M,0,451261,0.3956
7897,HARIOM,47,ETAH,UTTAR PRADESH,Independent,0,12th Pass,-437908,0.6972,0.147,1,3,2,0.0121,7,0,M,0,6339,0.0063
12756,HARIPADA BISWAS,61,BARASAT,WEST BENGAL,All India Forward Bloc,0,12th Pass,11890602,0.7708,0.077,2,1,2,-0.0155,7,0,M,0,124068,0.0889
11732,HARIPAL BAIRWA,60,JAIPUR,RAJASTHAN,Independent,0,8th Pass,0,0.6706,0.046,1,1,0,0.0279,2,0,M,0,440,0.0003
7432,HARIRAM SHAKYA,81,MAINPURI,UTTAR PRADESH,Voters Party International,0,Post Graduate,12816866,0.6972,0.147,1,1,4,0.0121,7,0,M,0,1121,0.0011
12535,HARISH CHANDRA ALIAS HARISH DWIVEDI,45,BASTI,UTTAR PRADESH,Bharatiya Janata Party,5,Post Graduate,8339854,0.6972,0.147,3,3,4,0.0121,7,0,M,1,471162,0.4468
